speaker,count,percent
Trump,2407,0.409562702
Huckabee,531,0.090352221
Carson,386,0.065679769
Graham,269,0.045771652
Falwell,758,0.128977369
Dobson,597,0.10158244
Unidentified,97,0.01650502
Floyd,109,0.018546878
Jeremiah,99,0.016845329
Rodriquez,79,0.013442232
Perkins,102,0.017355794
Shackelford,153,0.026033691
Robison,290,0.049344904
